,ID,Player Name,Drafting Team,Franchise current name,NBA profile,College / High School,Age at Draft,League before Draft,Draft Year,Pick Number,Position,Height,Weight,Nationality,Continent,Birthdate,GP,GS,MPG,PPG,FGA,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PO GP,PO MPG,PO PPG,PO FGM,PO FGA,PO FG%,PO 3PM,PO 3PA,PO 3P%,PO FTM,PO FTA,PO FT%,PO RPG,PO APG,PO SPG,PO BPG,PO TOPG,All-Star Games,CO GP,CO MPG,CO PPG,CO FG%,CO 3P%,CO FT%,CO RPG,CO APG,CO SPG,CO BPG,CO TOPG,MVP Awards,All-NBA Selections,All-Defensive Selections,Finals MVP Awards,Hall of Fame Inductee,Reason no stats
0,1,Bob Lanier,Detroit Pistons,Detroit Pistons,/stats/player/600005/,St. Bonaventure,21.8,College,1970,1,Center,2.11,113.0,USA,USA,1948-09-10,959.0,179.0,33.5,20.1,8.1,15.7,51.4,0.0,,,3.9,5.1,76.7,10.1,3.1,1.1,1.5,2.6,67.0,34.0,18.6,7.6,14.3,53.2,0.0,,,3.4,4.4,76.8,9.6,3.5,0.9,1.5,2.3,8.0,26.0,,29.1,56.1,,72.7,16.0,,,,,0,0,0,0,1,Too many results
1,2,Rudy Tomjanovich,San Diego Rockets,Houston Rockets,/stats/player/78350/,Michigan,21.6,College,1970,2,Forward,2.03,99.0,USA,USA,1948-11-24,768.0,,33.5,17.4,7.3,14.6,50.1,0.0,,,2.7,3.5,78.4,8.1,2.0,0.7,0.3,1.6,37.0,28.1,13.8,5.8,11.8,48.9,0.0,,,2.3,2.9,77.1,5.1,1.6,0.3,0.2,1.0,5.0,24.0,,30.1,47.4,,75.0,15.7,,,,,0,0,0,0,0,
2,3,Pete Maravich,Atlanta Hawks,Atlanta Hawks,/stats/player/77459/,Louisiana State,23.0,College,1970,3,Guard,1.96,89.0,USA,USA,1947-06-22,658.0,,37.0,24.2,9.4,21.3,44.1,0.0,,,5.4,6.6,82.0,4.2,5.4,1.4,0.3,3.7,26.0,29.1,18.7,7.3,17.3,42.3,0.1,,,4.0,5.2,78.4,3.7,3.8,0.3,0.0,1.0,4.0,31.0,,44.5,44.7,,77.3,5.3,6.2,,,,0,4,0,0,1,
3,4,Dave Cowens,Boston Celtics,Boston Celtics,/stats/player/76462/,Florida State,21.7,College,1970,4,Center,2.05,104.0,USA,USA,1948-10-25,766.0,89.0,38.6,17.6,7.5,16.3,46.0,0.0,,,2.6,3.4,78.3,13.6,3.8,1.1,0.9,2.2,89.0,42.3,18.9,8.2,18.3,45.1,0.0,,,2.4,3.3,74.4,14.4,3.7,1.2,0.9,0.9,6.0,26.0,,17.8,49.0,,68.0,17.2,,,,,1,3,3,0,1,
4,5,Sam Lacey,Cincinnati Royals,Sacramento Kings,/stats/player/77326/,New Mexico State,22.3,College,1970,5,Center,2.08,107.0,USA,USA,1948-03-28,1002.0,40.0,31.8,10.3,4.3,9.7,44.1,0.0,,,1.7,2.4,73.8,9.7,3.7,1.3,1.5,2.2,29.0,37.0,9.4,3.7,9.2,40.1,0.0,,,2.0,2.6,77.6,9.9,5.0,1.9,1.5,2.9,1.0,31.0,,17.8,46.3,,63.8,15.9,1.2,,,,0,0,0,0,0,
5,6,Jim Ard,Seattle SuperSonics,Oklahoma City Thunder,/stats/player/76055/,Cincinnati,21.8,College,1970,6,Center,2.03,98.0,USA,USA,1948-09-19,218.0,,12.2,3.5,1.4,3.8,36.1,,,,0.8,1.1,69.5,3.8,0.7,0.2,0.4,0.9,21.0,5.9,1.9,0.7,1.8,37.8,,,,0.5,0.7,78.6,1.3,0.4,0.0,0.2,,0.0,27.0,,19.2,49.1,,62.5,15.2,0.7,,,,0,0,0,0,0,
6,7,John Johnson,Cleveland Cavaliers,Cleveland Cavaliers,/stats/player/77152/,Iowa,22.7,College,1970,7,Forward,2.00,91.0,USA,USA,1947-10-18,869.0,1.0,29.6,12.9,5.3,11.8,44.6,0.0,,,2.4,3.0,77.9,5.5,3.8,0.8,0.4,2.7,73.0,27.4,9.7,4.0,9.0,45.0,0.0,,,1.7,2.4,69.9,4.9,3.8,0.6,0.2,3.0,2.0,25.0,,28.0,56.9,,75.2,10.1,,,,,0,0,0,0,0,
7,8,Geoff Petrie,Portland Trail Blazers,Portland Trail Blazers,/stats/player/77844/,Princeton,22.2,College,1970,8,Guard,1.93,86.0,USA,USA,1948-04-17,446.0,,37.6,21.8,8.9,19.5,45.5,,,,4.0,5.0,80.5,2.8,4.6,1.1,0.1,,0.0,,,,,,,,,,,,,,,,,2.0,20.0,,22.3,46.3,,77.5,6.0,,,,,0,0,0,0,0,
8,9,George Johnson,Baltimore Bullets,Washington Wizards,/stats/player/77147/,Stephen F. Austin,23.0,College,1970,9,Center,2.11,111.0,USA,USA,1947-06-19,69.0,,10.8,2.8,1.2,2.8,44.2,,,,0.3,0.7,43.1,3.2,0.3,0.3,0.3,,11.0,3.2,1.4,0.6,1.2,53.8,,,,0.1,0.2,50.0,1.0,0.2,,,,0.0,30.0,,11.4,53.3,,63.6,7.8,,,,,0,0,0,0,0,
9,10,Greg Howard,Phoenix Suns,Phoenix Suns,/stats/player/77066/,New Mexico,22.5,International League,1970,10,Forward,2.05,98.0,USA,USA,1948-01-08,92.0,,9.3,3.4,1.3,3.3,38.8,,,,0.8,1.2,69.7,2.5,0.6,,,,0.0,,,,,,,,,,,,,,,,,0.0,18.0,,24.1,43.1,,54.6,14.8,0.4,,,,0,0,0,0,0,
