ID,Player Name,Drafting Team,NBA profile,College / High School,Draft Year,Pick N°,Position,Nationality,Birthdate,GP,GS,MPG,PPG,FGA,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PO GP,PO MPG,PO PPG,PO FGM,PO FGA,PO FG%,PO 3PM,PO 3PA,PO 3P%,PO FTM,PO FTA,PO FT%,PO RPG,PO APG,PO SPG,PO BPG,PO TOPG,All-Star Games,CO GP,CO MPG,CO PPG,CO FG%,CO 3P%,CO FT%,CO RPG,CO APG,CO SPG,CO BPG,CO TOPG,MVP Awards,All-NBA Selections,All-Defensive selections,Finals MVP Awards,Hall of Fame Inductee,Height,Weight,League before Draft,Reason no stats
1,Bob Lanier,Detroit Pistons,/stats/player/600005/,St. Bonaventure,1970,1,| Center,USA,"Sep 10, 1948",959,179,33.5,20.1,8.1,15.7,51.4,0.0,-0,-0,3.9,5.1,76.7,10.1,3.1,1.1,1.5,2.6,67,34.0,18.6,7.6,14.3,53.2,0.0,-0,-0,3.4,4.4,76.8,9.6,3.5,0.9,1.5,2.3,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1 Hall of Fame Inductee,0,0,0,0,,,,
2,Rudy Tomjanovich,San Diego Rockets,/stats/player/78350/,Michigan,1970,2,| Forward,USA,"Nov 24, 1948",768,,33.5,17.4,7.3,14.6,50.1,0.0,-0,-0,2.7,3.5,78.4,8.1,2.0,0.7,0.3,1.6,37,28.1,13.8,5.8,11.8,48.9,0.0,-0,-0,2.3,2.9,77.1,5.1,1.6,0.3,0.2,1.0,5,24,NaN,30.1,47.4,NaN,75.0,15.7,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.03m),(99kg),College,
3,Pete Maravich,Atlanta Hawks,/stats/player/77459/,Louisiana State,1970,3,| Guard,USA,"Jun 22, 1947",658,,37.0,24.2,9.4,21.3,44.1,0.0,-0,-0,5.4,6.6,82.0,4.2,5.4,1.4,0.3,3.7,26,29.1,18.7,7.3,17.3,42.3,0.1,-0,-0,4.0,5.2,78.4,3.7,3.8,0.3,0.0,1.0,4,31,NaN,44.5,44.7,NaN,77.3,5.3,6.2,NaN,NaN,NaN,4 All-NBA,1 Hall of Fame Inductee,0,0,0,(1.96m),(89kg),College,
4,Dave Cowens,Boston Celtics,/stats/player/76462/,Florida State,1970,4,| Center,USA,"Oct 25, 1948",766,89,38.6,17.6,7.5,16.3,46.0,0.0,-0,-0,2.6,3.4,78.3,13.6,3.8,1.1,0.9,2.2,89,42.3,18.9,8.2,18.3,45.1,0.0,-0,-0,2.4,3.3,74.4,14.4,3.7,1.2,0.9,0.9,6,26,NaN,17.8,49.0,NaN,68.0,17.2,N/A,NaN,NaN,NaN,3 All-Defensive Team,3 All-NBA,1 Hall of Fame Inductee,1 NBA Most Valuable Player,0,(2.05m),(104kg),College,
5,Sam Lacey,Cincinnati Royals,/stats/player/77326/,New Mexico State,1970,5,| Center,USA,"Mar 28, 1948",1002,40,31.8,10.3,4.3,9.7,44.1,0.0,-0,-0,1.7,2.4,73.8,9.7,3.7,1.3,1.5,2.2,29,37.0,9.4,3.7,9.2,40.1,0.0,-0,-0,2.0,2.6,77.6,9.9,5.0,1.9,1.5,2.9,1,31,NaN,17.8,46.3,NaN,63.8,15.9,1.2,NaN,NaN,NaN,0,0,0,0,0,(2.08m),(107kg),College,
6,Jim Ard,Seattle SuperSonics,/stats/player/76055/,Cincinnati,1970,6,| Center,USA,"Sep 19, 1948",218,,12.2,3.5,1.4,3.8,36.1,-0,-0,-0,0.8,1.1,69.5,3.8,0.7,0.2,0.4,0.9,21,5.9,1.9,0.7,1.8,37.8,-0,-0,-0,0.5,0.7,78.6,1.3,0.4,0.0,0.2,-0,0,27,NaN,19.2,49.1,NaN,62.5,15.2,0.7,NaN,NaN,NaN,0,0,0,0,0,(2.03m),(98kg),College,
7,John Johnson,Cleveland Cavaliers,/stats/player/77152/,Iowa,1970,7,| Forward,USA,"Oct 18, 1947",869,1,29.6,12.9,5.3,11.8,44.6,0.0,-0,-0,2.4,3.0,77.9,5.5,3.8,0.8,0.4,2.7,73,27.4,9.7,4.0,9.0,45.0,0.0,-0,-0,1.7,2.4,69.9,4.9,3.8,0.6,0.2,3.0,2,25,NaN,28,56.9,NaN,75.2,10.1,NaN,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(91kg),College,
8,Geoff Petrie,Portland Trail Blazers,/stats/player/77844/,Princeton,1970,8,| Guard,USA,"Apr 17, 1948",446,,37.6,21.8,8.9,19.5,45.5,-0,-0,-0,4.0,5.0,80.5,2.8,4.6,1.1,0.1,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,20,NaN,22.3,46.3,NaN,77.5,6.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.93m),(86kg),College,
9,George Johnson,Baltimore Bullets,/stats/player/77147/,Stephen F. Austin,1970,9,| Center,USA,"Jun 19, 1947",69,,10.8,2.8,1.2,2.8,44.2,-0,-0,-0,0.3,0.7,43.1,3.2,0.3,0.3,0.3,-0,11,3.2,1.4,0.6,1.2,53.8,-0,-0,-0,0.1,0.2,50.0,1.0,0.2,-0,-0,-0,0,30,NaN,11.4,53.3,NaN,63.6,7.8,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.11m),(111kg),College,
10,Greg Howard,Phoenix Suns,/stats/player/77066/,New Mexico,1970,10,| Forward,USA,"Jan 08, 1948",92,,9.3,3.4,1.3,3.3,38.8,-0,-0,-0,0.8,1.2,69.7,2.5,0.6,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18,NaN,24.1,43.1,NaN,54.6,14.8,0.4,NaN,NaN,NaN,0,0,0,0,0,(2.05m),(98kg),International League,
11,Jimmy Collins,Chicago Bulls,/stats/player/76419/,New Mexico State,1970,11,| Guard,USA,"Nov 24, 1946",74,,8.3,3.8,1.6,3.9,41.4,-0,-0,-0,0.6,0.8,80.4,0.9,0.9,-0,-0,-0,2,4.0,1.5,0.0,0.5,0.0,-0,-0,-0,1.5,1.5,100,0.5,0.0,-0,-0,-0,0,31,NaN,24.6,51.3,NaN,80.4,4.6,2.9,NaN,NaN,NaN,0,0,0,0,0,(1.88m),(79kg),College,
12,Al Henry,Philadelphia 76ers,/stats/player/77000/,Wisconsin,1970,12,| Center,USA,"Feb 09, 1949",49,,9.1,4.0,1.4,3.3,42.6,-0,-0,-0,1.1,1.6,70.0,3.0,0.2,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
13,Jim McMillian,Los Angeles Lakers,/stats/player/77554/,Columbia,1970,13,| Forward,USA,"Mar 11, 1948",631,,32.1,13.8,5.8,12.0,48.2,-0,-0,-0,2.3,2.8,83.2,5.3,2.5,1.1,0.2,1.2,72,37.8,16.6,6.9,15.3,45.1,-0,-0,-0,2.8,3.5,79.1,5.2,1.9,1.3,0.3,1.2,0,25,NaN,25.7,51.3,NaN,74.5,9.7,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.96m),(86kg),College,
14,John Vallely,Atlanta Hawks,/stats/player/78397/,California-Los Angeles,1970,14,| Guard,USA,"Oct 03, 1948",100,,8.0,3.6,1.4,3.8,37.9,-0,-0,-0,0.8,1.0,72.1,0.7,0.8,-0,-0,-0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,NaN,16.3,48.6,NaN,72.1,3.7,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.90m),(86kg),College,
